Uploading jxc-0.1.jar (121.4 MB)
Starting upload...

  0.0/121.4 MB (0.0%)  
  0.1/121.4 MB (0.1%)  
  0.1/121.4 MB (0.1%)  
  0.1/121.4 MB (0.1%)  
  0.2/121.4 MB (0.1%)  
  0.2/121.4 MB (0.2%)  
  0.2/121.4 MB (0.2%)  
  0.2/121.4 MB (0.2%)  
  0.3/121.4 MB (0.2%)  
  0.3/121.4 MB (0.3%)  
  0.3/121.4 MB (0.3%)  
  0.4/121.4 MB (0.3%)  
  0.4/121.4 MB (0.3%)  
  0.4/121.4 MB (0.4%)  
  0.5/121.4 MB (0.4%)  
  0.5/121.4 MB (0.4%)  
  0.5/121.4 MB (0.4%)  
  0.6/121.4 MB (0.5%)  
  0.6/121.4 MB (0.5%)  
  0.6/121.4 MB (0.5%)  
  0.7/121.4 MB (0.5%)  
  0.7/121.4 MB (0.6%)  
  0.7/121.4 MB (0.6%)  
  0.8/121.4 MB (0.6%)  
  0.8/121.4 MB (0.6%)  
  0.8/121.4 MB (0.7%)  
  0.8/121.4 MB (0.7%)  
  0.9/121.4 MB (0.7%)  
  0.9/121.4 MB (0.7%)  
  0.9/121.4 MB (0.8%)  
  1.0/121.4 MB (0.8%)  
  1.0/121.4 MB (0.8%)  
  1.0/121.4 MB (0.8%)  
  1.1/121.4 MB (0.9%)  
  1.1/121.4 MB (0.9%)  
  1.1/121.4 MB (0.9%)  
  1.2/121.4 MB (1.0%)  
  1.2/121.4 MB (1.0%)  
  1.2/121.4 MB (1.0%)  
  1.2/121.4 MB (1.0%)  
  1.3/121.4 MB (1.1%)  
  1.3/121.4 MB (1.1%)  
  1.3/121.4 MB (1.1%)  
  1.4/121.4 MB (1.1%)  
  1.4/121.4 MB (1.2%)  
  1.4/121.4 MB (1.2%)  
  1.5/121.4 MB (1.2%)  
  1.5/121.4 MB (1.2%)  
  1.5/121.4 MB (1.3%)  
  1.6/121.4 MB (1.3%)  
  1.6/121.4 MB (1.3%)  
  1.6/121.4 MB (1.3%)  
  1.7/121.4 MB (1.4%)  
  1.7/121.4 MB (1.4%)  
  1.7/121.4 MB (1.4%)  
  1.8/121.4 MB (1.4%)  
  1.8/121.4 MB (1.5%)  
  1.8/121.4 MB (1.5%)  
  1.8/121.4 MB (1.5%)  
  1.9/121.4 MB (1.5%)  
  1.9/121.4 MB (1.6%)  
  1.9/121.4 MB (1.6%)  
  2.0/121.4 MB (1.6%)  
  2.0/121.4 MB (1.6%)  
  2.0/121.4 MB (1.7%)  
  2.1/121.4 MB (1.7%)  
  2.1/121.4 MB (1.7%)  
  2.1/121.4 MB (1.8%)  
  2.2/121.4 MB (1.8%)  
  2.2/121.4 MB (1.8%)  
  2.2/121.4 MB (1.8%)  
  2.2/121.4 MB (1.9%)  
  2.3/121.4 MB (1.9%)  
  2.3/121.4 MB (1.9%)  
  2.3/121.4 MB (1.9%)  
  2.4/121.4 MB (2.0%)  
  2.4/121.4 MB (2.0%)  
  2.4/121.4 MB (2.0%)  
  2.5/121.4 MB (2.0%)  
  2.5/121.4 MB (2.1%)  
  2.5/121.4 MB (2.1%)  
  2.6/121.4 MB (2.1%)  
  2.6/121.4 MB (2.1%)  
  2.6/121.4 MB (2.2%)  
  2.7/121.4 MB (2.2%)  
  2.7/121.4 MB (2.2%)  
  2.7/121.4 MB (2.2%)  
  2.8/121.4 MB (2.3%)  
  2.8/121.4 MB (2.3%)  
  2.8/121.4 MB (2.3%)  
  2.8/121.4 MB (2.3%)  
